j1,,,,,,,
j1,15808,2432,-1088,0,,,
j1,15808,2432,-1088,40,,,
j1,15808,2432,-1088,81,,,
,,,,,,,
j1,16576,2880,448,122,,,
,,,,,,,
j1,16576,2880,448,163,,,
,,,,,,,
j1,15872,2304,-960,202,,,
j1,15872,2304,-960,243,,,
j1,15872,2304,-960,284,,,
j1,15872,2496,-1088,325,,,
j1,15872,2496,-1088,366,,,
j1,15680,2560,-1088,409,,,
j1,15680,2560,-1088,450,,,
j1,15040,2304,-1728,491,,,
j1,15040,2304,-1728,532,,,
j1,15040,2304,-1728,573,,,
j1,14592,3648,-1088,614,,,
1088,655,,,,,,
j1,14400,2048,-5632,696,,,
j1,14400,2048,-5632,737,,,
j1,20672,1600,-9280,778,,,
j1,20672,1600,-9280,819,,,
j1,20672,1600,-9280,860,,,
j1,-128,768,-16064,901,,,
j1,-128,768,-16064,942,,,
j1,26560,-256,-18048,983,,,
j1,26560,-256,-18048,1024,,,
j1,26560,-256,-18048,1064,,,
j1,-32640,-30080,-32640,1107,,,
j1,-32640,-30080,-32640,1148,,,
j1,4416,7488,-14464,1189,,,
j1,4416,7488,-14464,1230,,,
j1,576,-4928,-7296,1273,,,
j1,576,-4928,-7296,1314,,,
j1,576,-4928,-7296,1355,,,
j1,5888,-6912,-4864,1396,,,
j1,5888,-6912,-4864,1437,,,
j1,32640,9984,-11136,1478,,,
j1,32640,9984,-11136,1519,,,
j1,16192,-20480,4864,1560,,,
j1,16192,-20480,4864,1601,,,
j1,16192,-20480,4864,1644,,,
j1,7104,-2112,-11264,1685,,,
j1,7104,-2112,-11264,1726,,,
j1,13632,256,-9472,1767,,,
j1,13632,256,-9472,1808,,,
j1,13632,-256,-7360,1849,,,
j1,14912,-256,-7360,1890,,,
j1,14912,-256,-7360,1933,,,
,,,,,,,
j1,15040,384,-5120,1974,,,
j1,15040,384,-5120,2015,,,
j1,14720,2176,-4992,2056,,,
j1,14720,2176,-4992,2097,,,
j1,14720,2176,-4992,2138,,,
j1,15744,2624,-3520,2179,,,
j1,15744,2624,-3520,2220,,,
j1,14464,4672,-4992,2260,,,
j1,14464,4672,-4992,2304,,,
j1,15808,1536,-576,2344,,,
j1,15808,1536,-576,2385,,,
,,,,,,,
j1,15808,1536,-576,2426,,,
j1,15808,3136,-1984,2467,,,
j1,15808,3136,-1984,2508,,,
j1,15616,3136,-2176,2549,,,
j1,15616,3136,-2176,2590,,,
j1,15680,2432,-1856,2631,,,
j1,15680,2432,-1856,2674,,,
j1,15680,2432,-1856,2715,,,
j1,15872,3136,-1536,2756,,,
j1,15872,3136,-1536,2797,,,
j1,15808,2240,-1728,2838,,,
,,,,,,,
j1,15808,2240,-1728,2879,,,
j1,15808,2240,-1728,2920,,,
,,,,,,,
j1,15872,2496,-1536,2963,,,
j1,15872,2496,-1536,3004,,,
,,,,,,,
j1,15808,2752,-2112,3045,,,
j1,15808,2752,-2112,3086,,,
,,,,,,,
j1,15808,2688,-1984,3127,,,
j1,15808,2688,-1984,3168,,,
,,,,,,,
j1,15808,2688,-1984,3209,,,
j1,15744,2496,-1664,3252,,,
,,,,,,,
j1,15744,2496,-1664,3293,,,
j1,15744,2432,-1984,3334,,,
j1,15744,2432,-1984,3375,,,
j1,15744,2304,-1600,3416,,,
j1,15744,2304,-1600,3457,,,
j1,15744,2304,-1600,3497,,,
j2,,,,,,,
j2,15872,2560,-640,0,,,
j2,15872,2560,-640,41,,,
j2,15680,2496,-1024,82,,,
j2,15680,2496,-1024,123,,,
j2,15808,2304,-640,164,,,
j2,15808,2304,-640,205,,,
j2,15808,2304,-640,245,,,
j2,15872,2816,-896,286,,,
j2,15872,2816,-896,327,,,
j2,15616,1920,-640,368,,,
j2,15616,1920,-640,409,,,
j2,15680,2112,-2496,450,,,
j2,15680,2112,-2496,491,,,
j2,15680,2112,-2496,532,,,
j2,14016,5120,-3776,573,,,
j2,14016,5120,-3776,614,,,
j2,16384,-2112,-8192,655,,,
,,,,,,,
j2,16384,-2112,-8192,696,,,
j2,6272,64,-14464,739,,,
j2,6272,64,-14464,778,,,
j2,6272,64,-14464,819,,,
j2,19328,-704,-15552,860,,,
j2,19328,-704,-15552,901,,,
j2,32640,14144,-16512,942,,,
j2,32640,14144,-16512,985,,,
j2,32640,14144,-16512,1026,,,
j2,32640,-16960,25472,1067,,,
j2,32640,-16960,25472,1108,,,
j2,-6528,7232,-4224,1151,,,
j2,-6528,7232,-4224,1192,,,
j2,2688,-6976,-10624,1233,,,
j2,2688,-6976,-10624,1274,,,
j2,2688,-6976,-10624,1315,,,
j2,32640,32640,32640,1358,,,
j2,32640,32640,32640,1398,,,
j2,22720,-7424,-31168,1439,,,
j2,22720,-7424,-31168,1480,,,
j2,6848,2944,-16064,1523,,,
j2,6848,2944,-16064,1564,,,
j2,6848,2944,-16064,1605,,,
j2,11456,-704,-11904,1646,,,
j2,11456,-704,-11904,1687,,,
j2,16960,960,-10432,1728,,,
,,,,,,,
j2,16960,960,-10432,1769,,,
j2,14208,512,-7680,1812,,,
j2,14208,512,-7680,1853,,,
j2,14208,512,-7680,1894,,,
j2,13952,2688,-5504,1935,,,
j2,13952,2688,-5504,1976,,,
j2,15872,1600,-3072,2017,,,
j2,15872,1600,-3072,2058,,,
j2,15872,1600,-3072,2099,,,
j2,15040,3648,-1792,2140,,,
j2,15040,3648,-1792,2183,,,
j2,15616,3264,-2048,2224,,,
j2,15616,3264,-2048,2265,,,
j2,15680,2624,-1600,2306,,,
j2,15680,2624,-1600,2347,,,
