move, x, y, z, time, error1, error2, error3
j1
j1, 15936, 128, 1600, 0
j1, 15936, 128, 1600, 41
j1, 15872, 0, 2048, 82
j1, 15872, 0, 2048, 121
j1, 15872, 128, 1792, 162

j1, 15872, 128, 1792, 203

j1, 15872, 128, 1792, 244
j1, 15936, 256, 1472, 285
j1, 15936, 256, 1472, 326
j1, 15872, 448, 1728, 367
j1, 15872, 448, 1728, 408
j1, 16000, -256, 1344, 447
j1, 16000, -256, 1344, 488
j1, 16000, -256, 1344, 529
j1, 15488, -768, 1024, 570
j1, 15488, -768, 1024, 611
j1, 8064, -10752, -7168, 652
j1, 8064, -10752, -7168, 693
j1, 12416, -11392, -6656, 736
j1, 12416, -11392, -6656, 777
j1, 12416, -11392, -6656, 818
j1, 16896, -2816, -11200, 859
j1, 16896, -2816, -11200, 900
j1, 32640, 24064, 320, 940
j1, 32640, 24064, 320, 981
j1, 32640, 24064, 320, 1022
j1, 16192, 18880, -15424, 1065
j1, 16192, 18880, -15424, 1106
j1, 5440, 15360, 1728, 1147

j1, 5440, 15360, 1728, 1188
j1, -256, 1344, -832, 1229
j1, -256, 1344, -832, 1270
j1, -256, 1344, -832, 1311
j1, -640, 896, -5056, 1352
j1, -640, 896, -5056, 1393
j1, 23808, 30080, 13568, 1434
j1, 23808, 30080, 13568, 1475
j1, -20288, -5248, -32640, 1518
32640, 1559
j1, -20288, -5248, -32640, 1600
j1, 11712, -8064, -6528, 1643
j1, 11712, -8064, -6528, 1684
j1, 896, -7552, -21824, 1725
j1, 896, -7552, -21824, 1766
j1, 15424, -2944, -10560, 1807
j1, 15424, -2944, -10560, 1848
j1, 15424, -2944, -10560, 1891

j1, 14464, -320, -4928, 1932
j1, 14464, -320, -4928, 1973

j1, 16448, -384, -2176, 2014
j1, 16448, -384, -2176, 2055
j1, 16448, -384, -2176, 2096
j1, 15552, -448, 256, 2137
j1, 15552, -448, 256, 2177
j1, 16128, -384, -64, 2218
j1, 16128, -384, -64, 2259
j1, 15872, 896, -384, 2300
j1, 15872, 896, -384, 2341
j1, 15872, 896, -384, 2382
j1, 16192, 576, 320, 2423
j1, 16192, 576, 320, 2464
j1, 16064, 0, 576, 2505
j1, 16064, 0, 576, 2546
j1, 16064, 0, 576, 2585
j1, 16064, 128, 704, 2626
j1, 16064, 128, 704, 2667
j1, 16000, 384, 448, 2708
j1, 16000, 384, 448, 2749
j1, 16000, -512, -192, 2790
j1, 16000, -512, -192, 2831
j1, 16000, -512, -192, 2872
j1, 16064, 320, 768, 2913
j1, 16064, 320, 768, 2954
j1, 16064, 320, 448, 2995
j1, 16064, 320, 448, 3036
j1, 15808, 832, -64, 3077
j1, 15808, 832, -64, 3115
j1, 15808, 832, -64, 3156
j1, 15808, 192, 896, 3197
j1, 15808, 192, 896, 3238
j1, 15936, 64, 1472, 3279
j1, 15936, 64, 1472, 3320
j1, 15936, 64, 1472, 3361
j1, 15744, -512, -192, 3402
j1, 15744, -512, -192, 3443
j1, 15808, 4736, -1920, 3484
j2
j2, 15936, 192, 1280, 2
j2, 16000, 256, 1280, 41
j2, 16000, 256, 1280, 82
j2, 16000, 256, 1280, 123
j2, 16000, 128, 1344, 164
j2, 16000, 128, 1344, 205
j2, 16000, 192, 1024, 245
j2, 16000, 192, 1024, 286
j2, 16000, 192, 1024, 327
j2, 15808, 64, 1088, 368
j2, 15808, 64, 1088, 407
j2, 15936, 448, 1088, 448
j2, 15936, 448, 1088, 489
j2, 15616, 448, 896, 530
j2, 15616, 448, 896, 571
j2, 15616, 448, 896, 612
j2, 15744, 896, 1152, 653
j2, 15744, 896, 1152, 694
j2, 16000, 1984, 3392, 735
j2, 16000, 1984, 3392, 776
j2, 16000, 1984, 3392, 817
j2, 12736, 4160, -6080, 858
j2, 12736, 4160, -6080, 899
j2, 20672, 3328, -14976, 940
j2, 20672, 3328, -14976, 981
j2, 16512, -1728, -14336, 1022
j2, 16512, -1728, -14336, 1063
j2, 16512, -1728, -14336, 1104
j2, 32640, 32640, 32640, 1147
j2, 32640, 32640, 32640, 1188
j2, 4352, -9216, 4544, 11269
j2, 2816, 7872, 3072, 1310
j2, 2816, 7872, 3072, 1351
j2, 2816, 7872, 3072, 1392
j2, 1344, 960, 1408, 1433
j2, 1344, 960, 1408, j2, 1472, 4928, -8832, 1515
j2, 1472, 4928, -8832, 1556
j2, 1472, 4928, -8832, 1597
j2, 17216, -32640, 14784, 1638
j2, 17216, -32640, 14784, 1681
j2, 12672, 2368, -10432, 1722
j2, 12672, 2368, -10432, 1763
j2, 8576, -2112, -9856, 1804
j2, 8576, -2112, -9856, 1847
j2, 8576, -2112, -9856, 1888
j2, 13248, -2560, -13760, 1929
j2, 13248, -2560, -13760, 1970
j2, 13056, -6912, -13696, 2011
j2, 13056, -6912, -13696, 2052
j2, 17024, -2816, -960, 2095
j2, 17024, -2816, -960, 2136
j2, 17024, -2816, -960, 2177
j2, 16896, 5056, 8192, 2218
j2, 16896, 5056, 8192, 2259
j2, 15872, -192, -3008, 2300
j2, 15872, -192, -3008, 2341
