,move,x3,x2,x1,x0,y3,y2,y1,y0,z3,z2,z1,z0
421,tendu,15133.080949784622,-0.0371595823038019,2.49567023681843e-06,9.59340334973485e-10,230.6228832551561,-0.08120858877129342,7.048518888269066e-06,1.4216378964470455e-09,2502.9276188635886,0.9329077911714756,-0.00021937251986960406,1.4515550894716021e-08
422,tendu,15182.799482140159,-0.06421178912379377,1.895990508530207e-05,-1.624805298820954e-09,2548.930783890549,-1.207118002300498,0.0002893557477196731,-2.0870753409882942e-08,-1383.989332634454,3.0652650501796517,-0.0007147970293782821,4.832493361004811e-08
423,tendu,14762.598779695823,0.08015891493398086,-1.587777620821933e-05,9.391194456932814e-10,244.9229580270395,-0.4267620926778688,9.701396126419152e-05,-6.032688516799759e-09,585.066370063467,2.2052457332446136,-0.0005137643327656111,3.420253619298259e-08
424,tendu,15164.14856811713,-0.192973351721057,3.780266496996086e-05,-1.430484662275677e-09,-1217.4980006536825,0.4776710662413877,-7.527281971941047e-05,6.937399454593718e-10,-1086.295166356139,2.7673239457281604,-0.0005548819858975182,2.6667682989745514e-08
425,tendu,15120.31708479504,-0.07531333799785016,1.2632279337042838e-05,1.3216683096685315e-10,583.9244054141219,-0.3860414428513158,8.987636199186329e-05,-5.946107729221332e-09,3188.262196260985,0.6711515765914081,-0.00016651446892001443,1.2115400240804857e-08
426,tendu,16214.898383978409,-0.5020721051569558,0.00014833148282026958,-1.4781318484182655e-08,-1330.1697147642665,0.6017024243175739,-0.00014069024561427996,1.0057982060223367e-08,-369.51712286785045,2.350465209665434,-0.0006491112108296732,5.941906271879904e-08
427,tendu,15230.594663656957,-0.11225505246761563,2.6116737578613808e-05,-1.4857539423094938e-09,274.2262054758694,0.02123317719433798,3.2368977866438697e-06,-1.2562830807618118e-09,1655.597443462789,1.4366984988694518,-0.00026142318353025127,5.803348644783658e-09
428,tendu,14925.218890280648,0.045829678232919925,-3.901446180374153e-06,-4.3811801302671984e-10,779.0003544320439,-0.4060602659124738,9.632622381323232e-05,-6.959687422492751e-09,658.5303357801866,2.0936048843217314,-0.0005201487224731051,4.105596253699166e-08
429,tendu,15721.335255281341,-0.3026514095371436,6.790659271790083e-05,-4.057670384302569e-09,-940.0617642199082,0.24827554586547218,-1.4941312019453755e-05,-4.918654331344088e-09,-122.02015047499856,2.6470651101811673,-0.0006074929170102945,3.9348956916581535e-08
430,tendu,15681.657946186197,-0.13927086551457063,4.27405827220646e-06,3.820001123719576e-09,-269.21422140716703,0.1507285933654636,-1.757076136363414e-05,-1.188933750685908e-09,1613.2360671203883,0.9984438946652785,-0.00010984044519604249,-1.0449222160319844e-08
431,tendu,15278.403470043673,-0.0958570277875793,2.7355541806498875e-05,-2.253854655510629e-09,752.3011948484578,-0.5011758232723071,0.00010995141738509619,-6.393778590450128e-09,-1596.6837006196854,3.608274801088004,-0.0008297334886624,5.430982734083576e-08
432,tendu,15164.92154976811,0.10424668584246577,-2.8744660268775633e-05,2.8624907829209016e-09,1158.581891108367,-0.5437834894691842,0.00013754011856687603,-1.1314484345983056e-08,2480.638546734387,7.366423136156836,-0.001954175951098582,1.7014860810069348e-07
433,tendu,14940.115669593446,0.1321447692446108,-4.242704518743487e-06,-3.368132114988871e-09,-4156.1363666211455,2.38153682938628,-0.0005297242992238154,3.268774031375223e-08,802.7937963692589,1.8079348094517234,-0.0004479062416434745,3.36858731604381e-08
434,tendu,14992.297704763316,0.016822118862705748,2.4059238704482546e-06,-8.888765276336326e-10,-58.70010956671751,-0.09736862076842508,2.687333150117126e-05,-2.216374681370132e-09,422.55555361967123,2.157561682517314,-0.0005241789937556586,3.771430807439284e-08
435,tendu,15544.837408945621,0.08392112087562101,-1.8525457749830112e-05,1.2589875495785013e-09,1227.8510944730651,-0.7227225486072286,0.0001767996548158426,-1.3324823066237464e-08,2114.0209932806597,1.3251709734144101,-0.0003308291679173267,2.534732588623161e-08
436,tendu,15205.865640574824,-0.045719810977042745,1.1526999713012386e-05,-7.571314049609405e-10,458.78146166811155,-0.296833690158131,9.909609887183281e-05,-1.109177438324846e-08,-388.68076370784365,2.2540385332212565,-0.0005231723613651651,3.5469379543582054e-08
437,tendu,13863.606387057816,0.5780884461812549,-0.00012314862370098838,7.48413841692885e-09,-1958.3484461351402,1.025252390371904,-0.00024077523649708866,1.7794921827769316e-08,2652.9279751053446,1.0671359468503834,-0.00026820606204959674,2.1244735749935682e-08
438,tendu,15126.799837219607,-0.12068777796771027,4.2677268573096635e-05,-4.831879926710622e-09,274.74809646251566,0.1727284601700538,-2.1779914777276514e-05,-1.1029972617916978e-09,2123.3966695484446,1.76210952419693,-0.00038160213168375834,2.0900739733096358e-08
439,tendu,15417.412481693109,-0.09053953867582822,3.3353192876793995e-05,-3.883836418156235e-09,845.6608569365335,-0.16051083936961777,4.576142368628534e-05,-4.244506866992712e-09,126.8173898655851,2.4520230103683196,-0.0005965267243117213,4.440410796357559e-08
440,tendu,15974.717079132268,-0.31705390788721677,8.214712951902052e-05,-6.560780920117531e-09,1233.0237858932203,-0.5935134609932895,0.0001487149355206388,-1.1223404490683263e-08,2243.5463651299638,0.6177389143354446,-0.00015946198815206686,1.232586129084948e-08
441,tendu,15954.567667724259,-0.27690808856106447,5.667969164669217e-05,-2.6163824047184996e-09,348.97765008928855,-0.09655354863030238,3.7058731478492506e-05,-4.498020126167487e-09,2672.2105569410764,1.1303724370706678,-0.0002520119539221984,1.4940175716797264e-08
442,tendu,16768.050538392352,-0.740976156240221,0.00017456061967717625,-1.224841508021711e-08,1698.7948765748513,-0.8570990428695656,0.0002080195482700737,-1.5467925424308498e-08,-2084.0311991732024,3.504756013390204,-0.0008404513159021355,6.106849137543009e-08
443,tendu,13896.031451561776,0.7607683925673346,-0.00015694074885355428,7.945115747626909e-09,197.03205359701346,0.14566872850591708,-7.606649075463808e-06,-3.2249610683254415e-09,1580.2198257596347,1.0806869524681542,-0.0002600525616039718,1.8468769787281636e-08
444,tendu,14227.980212291137,0.5731704418572384,-0.00012607886772608593,7.738846916527765e-09,-1704.205386466216,1.353496234099226,-0.0003061219187764421,1.973437591141535e-08,1812.6292901192357,1.5034497356105192,-0.00035257741477235266,2.3686721943272e-08
